City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
296,havre-saint-pierre,50.23,-63.6,35.6,51,20,13.87,CA,1587240454
297,diamantino,-14.41,-56.45,75.74,78,95,3.78,BR,1587240383
298,huarmey,-10.07,-78.15,77.97,63,18,9.91,PE,1587240554
299,ponta do sol,32.67,-17.1,60.01,58,11,5.01,PT,1587240555
300,deputatskiy,69.3,139.9,-9.35,72,58,1.99,RU,1587240555
301,alofi,-19.06,-169.92,78.8,88,32,10.29,NU,1587240555
302,methoni,36.82,21.7,63.0,87,0,2.24,GR,1587240556
303,edson,53.58,-116.44,39.2,48,1,5.82,CA,1587240556
305,barranca,-10.75,-77.77,75.29,67,45,10.38,PE,1587240556
306,tauranga,-37.69,176.17,63.28,81,74,12.64,NZ,1587240556
307,storslett,69.77,21.02,39.92,83,100,12.91,NO,1587240557
308,riacho de santana,-13.61,-42.94,73.69,74,100,2.98,BR,1587240557
309,ampanihy,-24.7,44.75,70.83,73,11,7.05,MG,1587240557
310,teguise,29.06,-13.56,66.2,68,20,12.75,ES,1587240557
311,nhamunda,-2.19,-56.71,84.27,77,62,1.16,BR,1587240558
312,nileshwar,12.25,75.1,80.67,85,13,4.68,IN,1587240558
313,banepa,27.63,85.52,57.2,87,20,3.36,NP,1587240558
314,chokurdakh,70.63,147.92,-6.72,88,100,8.59,RU,1587240388
315,pitimbu,-7.47,-34.81,84.2,74,40,5.82,BR,1587240559
316,namie,37.48,141,52.0,88,82,8.01,JP,1587240559
317,bururi,-3.85,29.63,56.95,59,100,3.13,BI,1587240368
318,calama,-22.47,-68.93,75.2,12,0,25.28,CL,1587240559
319,ilovlya,49.3,43.98,44.6,52,13,8.95,RU,1587240559
320,lakes entrance,-37.88,147.98,53.58,81,77,7.61,AU,1587240560
321,salalah,17.02,54.09,82.4,74,40,6.93,OM,1587240560
322,vasterhaninge,59.12,18.1,42.01,27,70,8.08,SE,1587240560
324,tazovskiy,67.47,78.7,35.98,98,100,20.47,RU,1587240560
325,riyadh,24.69,46.72,78.8,47,100,3.36,SA,1587240536
326,poum,-20.23,164.02,78.22,77,74,14.2,NC,1587240429
327,maniitsoq,65.42,-52.9,26.78,92,100,17.85,GL,1587240561
328,clarence town,-32.58,151.78,52.0,93,3,3.36,AU,1587240561
329,suzun,53.78,82.31,40.19,77,0,5.61,RU,1587240561
330,aripuana,-9.17,-60.63,79.02,80,98,2.17,BR,1587240562
331,los aquijes,-14.1,-75.69,75.2,64,14,6.93,PE,1587240562
332,viedma,-40.81,-63,80.94,29,97,21.27,AR,1587240562
333,lagoa,39.05,-27.98,62.29,91,100,23.26,PT,1587240562
334,reshetylivka,49.56,34.08,40.98,64,45,2.19,UA,1587240562
335,iqaluit,63.75,-68.51,6.8,65,20,2.24,CA,1587240563
337,ugoofaaru,5.67,73,85.91,73,3,10.31,MV,1587240563
338,flinders,-34.58,150.86,53.01,83,71,6.31,AU,1587240563
339,korla,41.76,86.15,59.32,37,99,9.98,CN,1587240563
340,pombal,-6.77,-37.8,78.64,68,88,2.89,BR,1587240563
341,diffa,13.32,12.61,80.67,13,45,4.83,NE,1587240564
342,chontaul,43.3,46.86,54.59,58,100,3.98,RU,1587240564
343,cabo san lucas,22.89,-109.91,79.0,56,5,19.46,MX,1587240564
344,klaksvik,62.23,-6.59,42.8,81,0,13.87,FO,1587240366
345,meulaboh,4.14,96.13,78.67,83,61,4.43,ID,1587240564
346,naze,28.37,129.48,64.4,88,90,4.7,JP,1587240565
347,smithers,54.78,-127.17,55.4,43,20,6.93,CA,1587240485
348,parakou,9.34,2.63,83.82,56,92,9.73,BJ,1587240565
349,sept-iles,50.2,-66.38,33.8,69,75,10.29,CA,1587240337
350,scottsboro,34.67,-86.03,60.8,41,1,4.7,US,1587240419
352,montbeliard,47.52,6.8,60.8,67,100,2.24,FR,1587240565
353,sechura,-5.56,-80.82,78.21,64,0,10.09,PE,1587240566
354,berlevag,70.86,29.09,35.73,83,95,15.43,NO,1587240566
355,jinxiang,22.86,115.7,77.0,82,91,1.01,CN,1587240566
356,torbay,47.67,-52.73,39.99,47,75,19.46,CA,1587240513
357,oktyabrskoye,43.06,44.74,42.8,75,100,6.71,RU,1587240566
358,soavinandriana,-19.17,46.73,56.48,62,28,4.65,MG,1587240567
359,yaring,6.87,101.37,81.43,81,100,8.55,TH,1587240567
360,ternate,0.8,127.4,79.86,80,51,3.13,ID,1587240567
361,san patricio,19.22,-104.7,82.4,78,20,11.41,MX,1587240567
362,xining,36.62,101.77,42.62,30,100,1.05,CN,1587240567
363,sao filipe,14.9,-24.5,71.69,73,14,21.59,CV,1587240419
364,emerald,-23.53,148.17,71.6,94,30,3.89,AU,1587240568
365,pangai,-19.8,-174.35,79.68,83,43,18.5,TO,1587240568
366,atar,20.52,-13.05,74.98,19,0,8.32,MR,1587240568
367,kibara,-2.15,33.45,68.0,94,75,5.82,TZ,1587240568
368,nabire,-3.37,135.48,76.96,87,100,3.98,ID,1587240568
370,baoshan,46.56,131.42,45.88,65,0,5.84,CN,1587240569
371,nova olimpia,-14.8,-57.29,79.3,76,67,2.59,BR,1587240569
372,eureka,40.8,-124.16,55.99,72,99,7,US,1587240569
